id,should_trigger,kind,prompt,expect
t01,true,explicit,"用 TopPPT HTML 做一份 10 页左右的产品发布演示，风格要克制一点","触发技能；产出单文件 HTML；mode=presentation；先给参考图"
t02,true,implicit,"帮我把这份调研材料做成一份能坐读的咨询风格研究报告","触发技能；mode=research；行动标题为结论句；含 Exhibit 编号"
t03,true,implicit,"把这套系统架构画成一张汇报图，评审会上看结构","触发技能；mode=architecture；图为王；节点 ≤24"
t04,true,context,"下周三要给董事会汇报年度经营复盘，材料在 attachments 里，需要能继续改的 PPT","触发技能；HTML+PPTX；research 或 presentation；交付前 strict 0/0"
t05,false,negative,"给我的 React 项目加一下 Tailwind 样式","不应触发技能（增量代码修改）"
t06,false,negative,"把这段 Python 脚本改成异步的","不应触发技能（纯代码工程）"
t07,true,implicit,"这份 HTML 报告我想转成能编辑的 PPT，尽量 1:1 还原","触发技能；走精导通道；命中深度模式触发词（1:1）"
t08,true,implicit,"现有的报告排版太挤了，帮我优化一下版式、配色和密度","触发技能；以原报告为起点重新生成"
t09,true,context,"客户要求把我们的平台能力做成一张飞轮图 + 一张分层架构图","触发技能；mode=architecture；结构图形族（loop / diagram）"
t10,true,implicit,"做一份 15 页的行业对标分析，要有对标矩阵、分布对比和流向分析","触发技能；mode=research；页型应含 matrix / boxplot / sankey"
t11,false,negative,"帮我生成一段 30 秒的产品宣传视频","不应触发技能（视频生成）"
t12,false,negative,"直接改一下这个 .docx 里的第二段文字","不应触发技能（Office 文件级编辑）"
t13,true,implicit,"要做一页把转化漏斗和主要流失原因讲清楚的图","触发技能；图表选型应为 funnel 或 sankey（不是默认柱状图）"
t14,true,implicit,"帮我准备一份季度复盘，数据多、细节多，别给我简化掉","触发技能；mode=research；细节保全（不砍口径列/维度）；组合版式"
